ULTA,227060000.00
ONB,226408992.00
GPI,226100000.00
MSM,224164992.00
XYL,224000000.00
TNK,223675008.00
FSLR,223244000.00
HRC,223000000.00
TDS,223000000.00
MASI,222554000.00
ATCO,222400000.00
BLD,222250000.00
ISBC,221580000.00
ESLT,221348992.00
MIK,221270000.00
PRAH,220587008.00
SWX,220498000.00
BKH,219602000.00
BXS,218563008.00
STL,217886000.00
ECPG,217612992.00
STOR,217094000.00
INVA,216448000.00
COG,216263008.00
UFPI,215503008.00
BLDR,214990000.00
IT,214839008.00
MMS,214508992.00
JBL,213932000.00
HE,213602000.00
JCOM,212991008.00
NNN,211887008.00
RH,210055008.00
ATR,209340992.00
ABG,208900000.00
AX,208855008.00
FR,208747008.00
GHC,207964992.00
CSIQ,207804000.00
WCN,207274000.00
SEM,206428000.00
SAIC,206000000.00
HRB,205788992.00
LECO,204752992.00
TMHC,203678000.00
NICE,203492992.00
AGCO,203400000.00
POWI,202188992.00
ON,201700000.00
MHO,201571008.00
ABMD,200467008.00
TPL,200380000.00
WD,199632992.00
SHOP,197318000.00
PNM,195802000.00
VCTR,195216000.00
NJR,193919008.00
IBTX,193020992.00
SEB,193000000.00
RCII,192306000.00
LSTR,192106000.00
LPX,192000000.00
SYNH,191951008.00
QGEN,191436000.00
SNDR,190700000.00
NHI,190024992.00
CPT,189272992.00
OGS,189243008.00
TYL,187516000.00
WWE,187492992.00
CGNX,187168000.00
ALV,186900000.00
PPC,186758000.00
FHB,185754000.00
SSD,185419008.00
ASGN,184200000.00
FCN,184154000.00
STNG,182424992.00
CR,181000000.00
NGVT,179700000.00
JAZZ,179194000.00
TTEK,178984992.00
KRC,178768992.00
IMKTA,178601440.00
XRX,178000000.00
ENPH,177670000.00
EXP,177178000.00
MSGN,177164992.00
INVH,177080992.00
ENVA,176978000.00
ALE,176800000.00
IAA,176300000.00
IQV,176000000.00
MAR,176000000.00
MORN,175900000.00
RBC,175600000.00
SEDG,175444992.00
FRT,175212992.00
DX,174598000.00
NMIH,173492992.00
FND,173182000.00
PXD,173000000.00
EGO,172914000.00
RBA,172812000.00
SAM,171803008.00
ARNC,171000000.00
IBOC,170824000.00
ACM,170452000.00
INT,169600000.00
SFBS,169506000.00
HUN,169000000.00
TREX,167828000.00
CCS,167698000.00
WDC,167000000.00
VOYA,167000000.00
EBS,166600000.00
AMED,166112000.00
SNEX,165600000.00
CUBE,165336992.00
PAYC,164447008.00
SQM,164416000.00
WRI,164296992.00
POR,164000000.00
BCC,163624992.00
PBH,163399008.00
APPF,163344000.00
APAM,162479008.00
NSIT,162202000.00
CHRS,161763008.00
NWE,161646000.00
FIZZ,161104000.00
TRMK,160024992.00
NNI,159832000.00
TMQ,158468000.00
BRX,158394000.00
NYT,158306000.00
NUS,158000000.00
LXP,157656000.00
BRKR,157500000.00
OHI,157471008.00
WERN,157018000.00
BSIG,156500000.00
CRUS,156364992.00
CTB,156056000.00
FFBC,155810000.00
RXN,155200000.00
LITE,155000000.00
LAUR,154215008.00
AIV,154184000.00
MPWR,153924992.00
BOH,153804000.00
IRBT,153774000.00
LSI,153556000.00
NSP,153342000.00
AUB,152570000.00
AUBAP,152570000.00
TW,152564992.00
STMP,152524992.00
EXEL,152136000.00
SUI,151604000.00
ENSG,151551008.00
CROX,149444000.00
NTB,149043008.00
ATKR,148946000.00
ITT,148600000.00
JHX,148100000.00
PRAA,146882000.00
FLS,146858000.00
WMS,146555008.00
PBFX,146206000.00
CHSCL,145560000.00
CHSCM,145560000.00
CHSCN,145560000.00
CHSCO,145560000.00
CHSCP,145560000.00
TOWN,145535008.00
VMI,144779008.00
WAFD,144523008.00
BUR,143080992.00
CCMP,142828000.00
TTD,141360000.00
FIX,141351008.00
SBRA,141040992.00
EME,140086000.00
SANM,139712992.00
CBPO,139371952.00
GEO,139172992.00
FLIR,139028000.00
MSA,138780000.00
LCII,138554000.00
EV,138516000.00
SUM,138486000.00
AMCX,136691008.00
GPK,136100000.00
CRI,134576000.00
HTLF,133487000.00
HTLFP,133487000.00
LANC,133027000.00
IRM,132983000.00
MLI,131243000.00
UDR,131163000.00
STEP,131126000.00
VRS,131000000.00
MEI,130600000.00
BGS,130075000.00
FTDR,130000000.00
UNF,129424000.00
SUPN,129311000.00
MANT,128987000.00
SJI,127718000.00
INSW,127067000.00
UNFI,126676000.00
COLM,126282000.00
PCRX,126120000.00
AJRD,125900000.00
PSB,125208000.00
PRDO,124816000.00
MEDP,123999000.00
FUL,123719000.00
MATX,123100000.00
CXW,122934000.00
PLXS,122672000.00
COWN,122627000.00
AVA,121529000.00
ESI,121200000.00
JBT,120800000.00
EGP,120791000.00
CENT,120676000.00
CENTA,120676000.00
SSB,120632000.00
FN,120573000.00
CLH,119656000.00
SAIA,119523000.00
WSBC,119400000.00
WSBCP,119400000.00
PTC,118755000.00
CUBI,118537000.00
HMN,118525000.00
SCL,118458000.00
WMK,118382000.00
STAG,118098000.00
WCC,117888000.00
WTS,116900000.00
ACA,116400000.00
USNA,115789000.00
DIOD,115543000.00
AUY,115300000.00
WSFS,114774000.00
AQUA,113649000.00
FF,113465000.00
SBH,113245000.00
HR,113235000.00
SAFT,112811000.00
SITE,112300000.00
SYNA,112000000.00
CASH,111689000.00
BKE,111512000.00
HOG,111192000.00
IRWD,110830000.00
SKYW,110462000.00
MTX,110300000.00
FIVE,109798000.00
LEA,109400000.00
CORT,109398000.00
CHH,109065000.00
STRA,108888000.00
AMG,108800000.00
GEF,108800000.00
SPXC,107900000.00
BRC,107540000.00
FCFS,106579000.00
HAE,106147000.00
ATUS,106040000.00
IPGP,105783000.00
WEN,105631000.00
GCP,105500000.00
AGI,105300000.00
OLED,105101000.00
TDC,105000000.00
SKX,104815000.00
WGO,104797000.00
WNS,104562000.00
FLWS,104032000.00
SIMO,103821000.00
AEIS,103729000.00
LHCG,103019000.00
TTEC,102488000.00
HASI,102368000.00
ABR,102320000.00
SNBR,101923000.00
CRON,100557000.00
BUSE,100344000.00
GRBK,100303000.00
ACHC,100286000.00
AIN,100197000.00
PRIM,100108000.00
FSS,99800000.00
CURO,99545000.00
VSH,99318000.00
FLO,98713000.00
ROLL,98431000.00
YETI,98149000.00
RUSHA,97616000.00
RUSHB,97616000.00
OTTR,97535000.00
MGRC,97210000.00
EVTC,97170000.00
KOP,97100000.00
ENS,96696000.00
ST,96157000.00
COKE,95945000.00
ARRY,95625000.00
STC,95199000.00
NTR,95000000.00
CBRL,94982000.00
NWLI,94909000.00
GMED,94857000.00
MED,94746000.00
EBIX,94530000.00
LFUS,93663000.00
AXTA,93600000.00
NBIX,93412000.00
WDR,93269000.00
TIG,93082000.00
TEL,93000000.00
FELE,92741000.00
CWT,92670000.00
GO,92281000.00
GOLF,92265000.00
TGP,92147000.00
AMSF,92115000.00
WW,91851000.00
NAT,91426000.00
PSN,90652000.00
ADC,90375000.00
HCSG,89830000.00
LTC,89830000.00
PVG,89721000.00
JACK,89394000.00
COLD,89356000.00
HZO,89175000.00
GLP,89041000.00
AMN,88839000.00
AGM,88811000.00
CHCO,88708000.00
IBP,88596000.00
DORM,88468000.00
QLYS,88420000.00
DOC,88262000.00
PJT,88182000.00
SWM,87600000.00
EIG,87500000.00
ROCK,87468000.00
B,86631000.00
MAN,86400000.00
PSMT,85075000.00
SMCI,84564000.00
LKFN,84337000.00
SCS,84300000.00
SENEA,83875000.00
SENEB,83875000.00
SPB,83800000.00
JHG,83800000.00
MANH,83458000.00
RBCAA,83246000.00
DBX,82900000.00
BCPC,82844000.00
AWR,82633000.00
MRCY,82263000.00
CMP,81600000.00
AMH,81559000.00
MGLN,81499000.00
FOXF,81400000.00
ICUI,81369000.00
TFSL,81098000.00
TRNO,80732000.00
KW,80700000.00
CTRE,80185000.00
XPO,80000000.00
HMST,79990000.00
ARES,79890000.00
EXPO,79833000.00
