202,ABR,NYQ,"Arbor Realty Trust, Inc.",14.570,0.000,0.000,14.100,14.610,1152084,14.570,14.570,3.540,15.320,14.275,12.339,1443419,1183300,NULL,109224762,4871358,1607990400
203,ABST,NMS,Absolute Software Corporation,13.010,0.000,0.000,12.600,13.020,37743,13.010,12.940,7.420,13.870,12.396,11.444,109342,50114,NULL,33187673,843870,1607990400
204,ABT,NYQ,Abbott Laboratories,120.250,0.000,0.000,119.710,124.720,10995345,120.250,120.390,61.610,124.720,110.950,107.015,5095273,7398650,NULL,1758590332,8902193,1607990400
205,ABTX,NGM,"Allegiance Bancshares, Inc.",36.020,0.000,0.000,34.710,36.260,94419,36.020,35.720,20.880,38.950,35.196,28.876,73086,81528,NULL,18573173,308095,1607990400
206,ABUS,NMS,Arbutus Biopharma Corporation,3.860,0.000,0.000,3.630,3.930,2509285,3.860,3.670,0.880,9.020,4.003,3.451,3640481,2601428,NULL,59105334,4052602,1607990400
207,AC,NYQ,"Associated Capital Group, Inc.",33.050,0.000,0.000,30.210,33.050,20368,33.050,32.660,24.209,45.274,35.051,36.548,9375,12783,NULL,3289340,46983,1607990400
208,ACA,NYQ,"Arcosa, Inc.",57.250,0.000,0.000,55.330,57.630,296544,57.250,57.440,28.140,64.115,57.801,49.775,267993,210283,NULL,47634097,631643,1607990400
209,ACAC,NCM,Acies Acquisition Corp.,11.010,0.000,0.000,10.850,11.190,128140,11.010,11.000,9.961,11.600,10.629,10.629,114940,251900,NULL,NULL,5613,NULL
210,ACACU,NCM,Acies Acquisition Corp.,11.990,0.000,0.000,11.390,11.990,27003,11.990,11.820,9.880,13.000,11.028,10.506,108437,61400,NULL,NULL,402,1607990400
211,ACAD,NMS,ACADIA Pharmaceuticals Inc.,49.730,0.000,0.000,47.260,49.950,961818,49.730,49.540,30.020,58.720,53.256,46.766,959004,1033042,NULL,116702634,6234148,1607990400
212,ACB,NYQ,Aurora Cannabis Inc.,11.840,0.000,0.000,11.060,12.320,24965213,11.840,11.700,3.710,26.400,10.151,8.456,45101450,25841450,NULL,160177293,33219261,1607990400
213,ACBI,NMS,"Atlantic Capital Bancshares, Inc.",18.430,0.000,0.000,17.750,18.770,146789,18.430,18.170,8.890,21.000,16.715,13.617,86434,102628,NULL,19513852,217058,1607990400
214,ACC,NYQ,"American Campus Communities, Inc.",41.240,0.000,0.000,40.680,41.900,707268,41.240,41.500,20.130,49.020,42.271,38.091,933936,1028066,NULL,136745362,3733610,1607990400
215,ACCD,NMS,"Accolade, Inc.",51.050,0.000,0.000,49.580,52.800,862922,51.050,51.320,0.550,65.250,50.316,41.409,603214,1185128,NULL,43066431,3850052,1607990400
216,ACCO,NYQ,ACCO Brands Corporation,8.330,0.000,0.000,8.070,8.350,459580,8.330,8.340,3.510,11.380,8.627,7.171,571929,364733,NULL,91194173,3805104,1607990400
217,ACEL,NYQ,"Accel Entertainment, Inc.",9.940,0.000,0.000,9.580,10.049,332613,9.940,10.030,5.220,15.110,10.252,10.624,387434,235000,NULL,48536217,2964584,1607990400
218,ACER,NCM,Acer Therapeutics Inc.,3.850,0.000,0.000,3.620,3.910,359834,3.850,3.790,1.080,7.250,2.984,2.985,775637,884685,NULL,4965722,207270,1607990400
219,ACES,BTS,ALPS Clean Energy ETF,93.840,0.000,0.000,90.950,94.870,185377,93.840,93.900,23.155,101.240,86.525,63.155,167250,177850,NULL,NULL,NULL,NULL
220,ACET,NGM,"Adicet Bio, Inc.",12.700,0.000,0.000,12.060,13.122,77911,12.700,12.410,6.020,21.700,13.811,14.090,60032,59428,NULL,3259574,145275,1607990400
221,ACEV,NCM,ACE Convergence Acquisition Corp.,10.500,0.000,0.000,10.400,10.690,667278,10.500,10.470,9.600,12.950,10.703,10.104,663186,1015214,NULL,NULL,79265,1607990400
222,ACEVU,NCM,ACE Convergence Acquisition Corp.,11.460,0.000,0.000,11.370,11.660,18382,11.460,11.330,9.900,14.500,11.681,10.475,40322,59371,NULL,NULL,960,1607990400
223,ACGL,NMS,Arch Capital Group Ltd.,31.680,0.000,0.000,31.230,31.880,2789553,31.680,31.950,20.930,48.320,34.687,32.277,2467639,3735342,NULL,358974847,4096198,1607990400
224,ACGLO,NMS,Arch Capital Group Ltd.,26.540,0.000,0.000,26.320,26.630,32929,26.540,26.670,15.250,27.060,26.465,26.332,17150,16614,NULL,358974847,4251,1607990400
225,ACGLP,NMS,Arch Capital Group Ltd.,25.630,0.000,0.000,25.500,25.800,52866,25.630,25.800,16.130,26.227,25.695,25.600,34503,41242,NULL,358974847,6914,1607990400
226,ACH,NYQ,Aluminum Corporation of China Limited,7.670,0.000,0.000,7.570,7.740,69266,7.670,7.910,4.600,9.950,8.737,7.032,95321,106516,NULL,447539690,9031,1607990400
227,ACHC,NMS,"Acadia Healthcare Company, Inc.",50.940,0.000,0.000,49.780,51.960,488242,50.940,50.890,11.090,53.520,50.349,37.366,566562,423285,NULL,87380510,5513024,1607990400
228,ACHV,NCM,"Achieve Life Sciences, Inc.",11.790,0.000,0.000,11.600,12.590,245630,11.790,11.580,4.600,18.260,9.257,9.062,374578,1282600,NULL,3195012,440816,1607990400
229,ACI,NYQ,"Albertsons Companies, Inc.",17.820,0.000,0.000,17.220,18.395,3003873,17.820,17.580,12.910,20.620,16.893,15.247,2710863,4660466,NULL,236472274,19202205,1607990400
230,ACIA,NMS,"Acacia Communications, Inc.",114.350,0.000,0.000,114.250,114.480,893917,114.350,114.260,60.620,114.760,87.853,72.754,1523265,988442,NULL,34405511,2708964,1607990400
231,ACIC,NYQ,Atlas Crest Investment Corp.,10.440,0.000,0.000,10.280,10.500,229068,10.440,10.440,9.730,11.820,10.315,10.315,315567,453083,NULL,NULL,39519,NULL
232,ACIO,BTS,Aptus Collared Income Opportunity ETF,27.320,0.000,0.000,27.100,27.320,26052,27.320,27.480,21.240,28.140,27.676,27.003,32008,27066,NULL,NULL,NULL,NULL
233,ACIU,NGM,AC Immune SA,6.300,0.000,0.000,5.770,6.300,225696,6.300,6.130,4.070,13.000,5.730,6.060,351072,268371,NULL,28753461,1233300,1607990400
234,ACIW,NMS,"ACI Worldwide, Inc.",39.080,0.000,0.000,38.260,39.780,692145,39.080,38.770,20.030,40.960,38.669,32.033,875737,741571,NULL,103956294,3680208,1607990400
235,ACKIU,NCM,Ackrell SPAC Partners I Co.,10.450,0.000,0.000,10.290,10.490,174628,10.450,10.300,10.116,10.600,10.357,10.357,113342,124314,NULL,NULL,1089,NULL
236,ACLS,NMS,"Axcelis Technologies, Inc.",36.000,0.000,0.000,34.230,36.020,347962,36.000,36.160,12.990,40.950,32.503,26.810,364791,363542,NULL,32867621,1145185,1607990400
237,ACM,NYQ,AECOM,50.500,0.000,0.000,49.340,50.970,1160964,50.500,50.960,21.760,55.730,51.098,44.853,1363783,826416,NULL,141137523,2800239,1607990400
238,ACMR,NGM,"ACM Research, Inc.",91.650,0.000,0.000,86.570,91.650,211910,91.650,91.730,15.950,113.870,87.842,83.437,295585,235542,NULL,10007381,1065862,1607990400
239,ACN,NYQ,Accenture plc,248.240,0.000,0.000,241.730,249.230,2494447,248.240,249.340,137.150,271.180,256.261,238.570,1948260,1906400,NULL,633202639,4135666,1607990400
240,ACNB,NCM,ACNB Corporation,25.440,0.000,0.000,25.030,26.040,17481,25.440,25.530,19.000,37.480,25.951,23.416,16614,22714,NULL,8349323,70866,1607990400
241,ACND,NYQ,Ascendant Digital Acquisition Corp.,10.393,0.000,0.000,10.310,10.480,21722,10.393,10.390,9.570,11.000,10.367,10.037,96790,109333,NULL,NULL,116952,1607990400
242,ACOR,NMS,"Acorda Therapeutics, Inc.",7.010,0.000,0.000,6.700,7.350,451202,7.010,6.900,2.520,13.140,5.333,4.428,1247922,557342,NULL,7209774,1080836,1607990400
243,ACP,NYQ,Aberdeen Income Credit Strategies Fund,10.870,0.000,0.000,10.860,11.000,69462,10.870,10.860,5.300,12.240,10.896,10.232,99780,78733,NULL,NULL,18781,1607990400
244,ACRE,NYQ,Ares Commercial Real Estate Corporation,11.480,0.000,0.000,11.310,11.665,230996,11.480,11.620,2.780,17.720,11.972,10.387,294614,222466,NULL,31606700,936525,1607990400
